0,NUL,␀,^@,Null
1,SOH,␁,^A,Start of Heading
2,STX,␂,^B,Start of Text
3,ETX,␃,^C,End of Text
4,EOT,␄,^D,End of Transmission
5,ENQ,␅,^E,Enquiry
6,ACK,␆,^F,Acknowledgement
7,BEL,␇,^G,Bell
8,BS,␈,^H,Backspace
9,HT,␉,^I,Horizontal Tab
10,LF,␊,^J,Line Feed
11,VT,␋,^K,Vertical Tab
12,FF,␌,^L,Form Feed
13,CR,␍,^M,Carriage Return
14,SO,␎,^N,Shift Out
15,SI,␏,^O,Shift In
16,DLE,␐,^P,Data Link Escape
17,DC1,␑,^Q,Device Control 1 often XON
18,DC2,␒,^R,Device Control 2
19,DC3,␓,^S,Device Control 3 often XOFF
20,DC4,␔,^T,Device Control 4
21,NAK,␕,^U,Negative Acknowledgement
22,SYN,␖,^V,Synchronous Idle
23,ETB,␗,^W,End of Transmission Block
24,CAN,␘,^X,Cancel
25,EM,␙,^Y,End of Medium
26,SUB,␚,^Z,Substitute
27,ESC,␛,^[,Escape
28,FS,␜,^\\,File Separator
29,GS,␝,^],Group Separator
30,RS,␞,^^,Record Separator
31,US,␟,^_,Unit Separator
127,DEL,␡,^?,Delete
