alias,country,location,icon
ch1,Switzerland,Switzerland,switzerland1.png
defr1,Germany,Germany - Frankfurt - 1,germany1.png
defr2,Germany,Germany - Frankfurt - 2,germany1.png
ukke,UK,UK - Kent,uk.png
usda,USA,USA - Dallas,usa.png
at1,Austria,Austria,uk.png
