DSID,mu,M2,tan_beta
255101,150,175,5
255102,150,300,5
255103,150,400,5
255104,150,500,5
255105,150,600,5
255106,150,700,5
255107,150,800,5
255108,175,150,5
255109,300,150,5
255110,400,150,5
255111,500,150,5
255112,600,150,5
255113,700,150,5
255114,800,150,5
255115,150,175,20
255116,150,300,20
255117,150,400,20
255118,150,500,20
255119,150,600,20
255120,150,700,20
255121,150,800,20
255122,175,150,20
255123,300,150,20
255124,400,150,20
255125,500,150,20
255126,600,150,20
255127,700,150,20
255128,800,150,20
